"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D3";"D_SMA";1;"PTZTFTE2510B";;;
2;"C6,C5,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7uF";;;
3;"R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"49.9k";;;
4;"C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.47uF";;;
5;"J2";"PinHeader_2x05_P2.54mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
6;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
7;"C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"30nF";;;
8;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
9;"D1";"D_SMA";1;"B120-E3";;;
10;"D2";"D_SMA";1;"PTZTFTE255.6B";;;
11;"H1,H2,H3";"MountingHole_2.7mm_M2.5_DIN965";3;"MountingHole";;;
12;"J1";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"Conn_01x02_Male";;;
13;"Q1,Q2";"SOT-23";2;"IRLML2402TR";;;
14;"Q3";"TO-252-3_TabPin2";1;"FDD306P";;;
15;"R1,R2,R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"100k";;;
16;"R3,R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"4.7k";;;
17;"R4,R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"200k";;;
18;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1K";;;
19;"R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1k";;;
20;"U1";"MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm";1;"LT3042xMSE";;;
