"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R8,R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"4.7k";;;
2;"R3,R2,R9,R12";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"100k";;;
3;"Q3";"TO-252-3_TabPin2";1;"AOD413A";;;
4;"U1";"MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm";1;"LT3042xMSE";;;
5;"Q1,Q2";"SOT-23";2;"IRLML2402TRPBF";;;
6;"C6,C9,C13,C7,C14";"C_0603_1608Metric";5;"2.2uF";;;
7;"C1,C15,C17,C16,C18";"C_0603_1608Metric";5;"100nF";;;
8;"C3,C2,C12,C4,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"22uF";;;
9;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"49.9k";;;
10;"C5,C10,C11";"C_0603_1608Metric";3;"22nF";;;
11;"R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1k";;;
12;"U3";"MAX15059BATE&plus_";1;"MAX15059BATE+";;;
13;"L2";"Wuerth_Elektronik-744025004-Manufacturer_Recommended";1;"4.7uH,WE-TPC,744025004";;;
14;"R15,R17,R18,R19,R13";"R_0603_1608Metric";5;"10k";;;
15;"U2";"LTC3129EMSE-1-PBF";1;"LTC3129IMSE-1-PBF";;;
16;"TP1";"TestPoint_THTPad_D1.0mm_Drill0.5mm";1;"TestPoint";;;
17;"L4";"Wuerth_Elektronik-744025004-Manufacturer_Recommended";1;"4.7uF,WE-TPC,744025004";;;
18;"L5,L3,L1";"L_0603_1608Metric";3;"1.0uH";;;
19;"TP2";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TestPoint_2Pole";;;
20;"H1,H2,H3";"MountingHole_2.7mm_M2.5_DIN965_Pad";3;"MountingHole_Pad";;;
21;"J1";"IDC-Header_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
22;"D3,D1,D2";"D_SOD-123";3;"MBR0580";;;
23;"R7,R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"200k";;;
24;"R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1K";;;
25;"J2";"PinSocket_2x05_P2.54mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
26;"R14";"R_0603_1608Metric";1;"120k";;;
27;"R16";"R_0603_1608Metric";1;"360k";;;
28;"R20";"R_0603_1608Metric";1;"100";;;
29;"R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"330k";;;
