Ref,Val,Package,PosX,PosY,Rot,Side
"C7","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.550000,-129.375000,0.000000,bottom
"C11","2.2uF","C_0603_1608Metric",105.175000,-118.825000,0.000000,bottom
"C13","100nF","C_0603_1608Metric",109.600000,-118.500000,0.000000,bottom
"D1","SDM02M30LP3","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.125000,-132.425000,0.000000,bottom
"D2","BAT54GWJ","D_SOD-123",120.750000,-131.425000,0.000000,bottom
"J2","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical_SMD",112.000000,-108.000000,270.000000,bottom
"R4","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.500000,-138.337500,270.000000,bottom
"R5","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",118.912500,-138.750000,0.000000,bottom
"R6","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",122.500000,-136.162500,270.000000,bottom
"R8","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",126.250000,-139.337500,90.000000,bottom
"R11","330k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.400000,-127.350000,180.000000,bottom
"R12","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.325000,-129.450000,0.000000,bottom
"R13","120k","R_0402_1005Metric",108.275000,-123.265000,270.000000,bottom
"R15","380k","R_0603_1608Metric",111.375000,-122.350000,270.000000,bottom
"R17","100","R_0603_1608Metric",110.175000,-120.025000,0.000000,bottom
"R18","330k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.000000,-125.825000,180.000000,bottom
"R19","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.000000,-123.750000,0.000000,bottom
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.150000,-138.837500,90.000000,top
"C2","30nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.362500,-143.250000,180.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.000000,-135.462500,270.000000,top
"C4","0.47uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.000000,-118.362500,90.000000,top
"C5","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-118.212500,90.000000,top
"C6","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.787500,-129.500000,0.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.762500,-122.850000,0.000000,top
"C9","2.2uF","C_0603_1608Metric",119.500000,-129.325000,180.000000,top
"C10","2.2uF","C_0603_1608Metric",101.750000,-123.275000,270.000000,top
"C12","100nF","C_0603_1608Metric",110.100000,-118.700000,180.000000,top
"C14","22nF","C_0603_1608Metric",112.675000,-130.100000,0.000000,top
"C15","22nF","C_0603_1608Metric",113.075000,-123.500000,0.000000,top
"C16","10pF","C_0402_1005Metric",122.500000,-124.750000,180.000000,top
"C17","2.2uF","C_0402_1005Metric",116.850000,-129.050000,0.000000,top
"C18","100nF","C_0603_1608Metric",114.450000,-118.200000,270.000000,top
"C19","100nF","C_0603_1608Metric",102.500000,-127.725000,270.000000,top
"D3","TMMBAT 41","D_MiniMELF",110.375000,-116.750000,180.000000,top
"L1","1.0uH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",104.500000,-133.375000,270.000000,top
"L4","1.0uH","L_0603_1608Metric",102.562500,-120.475000,180.000000,top
"L5","1.0uH","L_0603_1608Metric",115.925000,-118.225000,270.000000,top
"Q1","IRLML2402TR","SOT-23",120.000000,-136.200000,0.000000,top
"Q2","IRLML2402TR","SOT-23",120.000000,-140.800000,0.000000,top
"Q3","FDD306P","TO-252-3_TabPin2",110.500000,-136.500000,90.000000,top
"R1","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",118.087500,-132.750000,0.000000,top
"R2","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.500000,-132.750000,0.000000,top
"R3","4.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.587500,-136.250000,180.000000,top
"R7","4.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.587500,-140.750000,180.000000,top
"R9","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",115.662500,-143.250000,0.000000,top
"R10","49.9k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.250000,-118.337500,90.000000,top
"R14","10k","R_0402_1005Metric",109.275000,-121.135000,270.000000,top
"R16","10k","R_0402_1005Metric",109.190000,-122.925000,180.000000,top
"R20","200k","R_0603_1608Metric",104.825000,-125.000000,0.000000,top
"R21","200k","R_0603_1608Metric",104.825000,-127.000000,180.000000,top
"U1","LT3042xMSE","MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm",128.750000,-124.250000,90.000000,top
