"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R22,R19,R18,R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"1k";;;
2;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100n";;;
3;"C5,C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"30nF";;;
4;"C7,C4,C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
5;"J1";"Molex_Micro-Fit_3.0_43045-1000_2x05_P3.00mm_Horizontal";1;"Conn_02x05_Top_Bottom";;;
6;"R23";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"0";;;
7;"U1";"DIP-48_W15.24mm_LongPads";1;"CMOD-A7";;;
8;"TH3,TH2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k Thermistor_NTC";;;
9;"TH1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"PT100";;;
10;"R21";"TO-263-2_TabPin1";1;"5";;;
11;"R20";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100k";;;
12;"R17,R10,R8,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"6.6k";;;
13;"R16,R12,R7,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"4.7k";;;
14;"R15,R13";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"20k";;;
15;"R14,R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"1K";;;
16;"R11,R6,R4,R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"10k";;;
17;"Q6,Q3";"TO-252-3_TabPin2";2;"FDD306P";;;
18;"Q5,Q4,Q2,Q1";"SOT-23";4;"BSS127S";;;
19;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
20;"D2,D1";"D_SOD-323_HandSoldering";2;"RB751V40T1G";;;
