 time            V("/vd1")       V("/vd2")       V("/vtemp")     V("/vload")    
 0.00000000e+00  4.99911185e+00  1.52890279e+00  1.00000000e+00  4.97555699e+00 
 1.00000000e-04  4.99910244e+00  1.52779020e+00  1.00349000e+00  4.97554765e+00 
 2.00000000e-04  4.99911499e+00  1.52822330e+00  1.00698000e+00  4.97554246e+00 
 4.00000000e-04  4.99911287e+00  1.52873403e+00  1.01396000e+00  4.97553648e+00 
 8.00000000e-04  4.99911125e+00  1.52883919e+00  1.02792000e+00  4.97553521e+00 
 1.60000000e-03  4.99911236e+00  1.52881514e+00  1.05584000e+00  4.97553548e+00 
 3.20000000e-03  4.99911132e+00  1.52882899e+00  1.11168000e+00  4.97553533e+00 
 6.40000000e-03  4.99911234e+00  1.52881826e+00  1.22336000e+00  4.97553545e+00 
 1.28000000e-02  4.99911134e+00  1.52882775e+00  1.44672000e+00  4.97553534e+00 
 2.28000000e-02  4.99911233e+00  1.52881887e+00  1.79572000e+00  4.97553544e+00 
 3.28000000e-02  4.99911134e+00  1.52882730e+00  2.14472000e+00  4.97553535e+00 
 4.28000000e-02  4.99911233e+00  1.52881929e+00  2.49372000e+00  4.97553543e+00 
 5.28000000e-02  4.99911134e+00  1.52882691e+00  2.84272000e+00  4.97553535e+00 
 6.28000000e-02  4.99911232e+00  1.52881966e+00  3.19172000e+00  4.97553543e+00 
 7.28000000e-02  4.99911135e+00  1.52882656e+00  3.54072000e+00  4.97553535e+00 
 8.28000000e-02  4.99911232e+00  1.52882000e+00  3.88972000e+00  4.97553543e+00 
 9.28000000e-02  4.99911135e+00  1.52882624e+00  4.23872000e+00  4.97553536e+00 
 1.02800000e-01  4.99911232e+00  1.52882030e+00  4.58772000e+00  4.97553542e+00 
 1.12800000e-01  4.99911135e+00  1.52882595e+00  4.93672000e+00  4.97553536e+00 
 1.22800000e-01  4.99911231e+00  1.52882057e+00  5.28572000e+00  4.97553542e+00 
 1.32800000e-01  4.99911136e+00  1.52882570e+00  5.63472000e+00  4.97553536e+00 
 1.42800000e-01  4.99911231e+00  1.52882081e+00  5.98372000e+00  4.97553542e+00 
 1.52800000e-01  4.99911136e+00  1.52882547e+00  6.33272000e+00  4.97553537e+00 
 1.62800000e-01  4.99911231e+00  1.52882103e+00  6.68172000e+00  4.97553541e+00 
 1.72800000e-01  4.99911136e+00  1.52882526e+00  7.03072000e+00  4.97553537e+00 
 1.82800000e-01  4.99911230e+00  1.52882122e+00  7.37972000e+00  4.97553541e+00 
 1.92800000e-01  4.99911136e+00  1.52882508e+00  7.72872000e+00  4.97553537e+00 
 2.02800000e-01  4.99911230e+00  1.52882140e+00  8.07772000e+00  4.97553541e+00 
 2.12800000e-01  4.99911136e+00  1.52882491e+00  8.42672000e+00  4.97553537e+00 
 2.22800000e-01  4.99911230e+00  1.52882155e+00  8.77572000e+00  4.97553541e+00 
 2.32800000e-01  4.99911137e+00  1.52882476e+00  9.12472000e+00  4.97553538e+00 
 2.42800000e-01  4.99911230e+00  1.52882170e+00  9.47372000e+00  4.97553541e+00 
 2.52800000e-01  4.99911137e+00  1.52882463e+00  9.82272000e+00  4.97553538e+00 
 2.62800000e-01  4.99911230e+00  1.52882182e+00  1.01717200e+01  4.97553540e+00 
 2.72800000e-01  4.99911137e+00  1.52882451e+00  1.05207200e+01  4.97553538e+00 
 2.82800000e-01  4.99911229e+00  1.52882193e+00  1.08697200e+01  4.97553540e+00 
 2.92800000e-01  4.99911137e+00  1.52882440e+00  1.12187200e+01  4.97553538e+00 
 3.02800000e-01  4.99911229e+00  1.52882204e+00  1.15677200e+01  4.97553540e+00 
 3.12800000e-01  4.99911137e+00  1.52882431e+00  1.19167200e+01  4.97553538e+00 
 3.22800000e-01  4.99911229e+00  1.52882213e+00  1.22657200e+01  4.97553540e+00 
 3.32800000e-01  4.99911138e+00  1.52882422e+00  1.26147200e+01  4.97553538e+00 
 3.42800000e-01  4.99911229e+00  1.52882221e+00  1.29637200e+01  4.97553540e+00 
 3.52800000e-01  4.99911138e+00  1.52882414e+00  1.33127200e+01  4.97553538e+00 
 3.62800000e-01  4.99911229e+00  1.52882228e+00  1.36617200e+01  4.97553540e+00 
 3.72800000e-01  4.99911138e+00  1.52882407e+00  1.40107200e+01  4.97553538e+00 
 3.82800000e-01  4.99911228e+00  1.52882235e+00  1.43597200e+01  4.97553540e+00 
 3.92800000e-01  4.99911138e+00  1.52882401e+00  1.47087200e+01  4.97553538e+00 
 4.02800000e-01  4.99911228e+00  1.52882241e+00  1.50577200e+01  4.97553540e+00 
 4.12800000e-01  4.99911138e+00  1.52882395e+00  1.54067200e+01  4.97553539e+00 
 4.22800000e-01  4.99911228e+00  1.52882246e+00  1.57557200e+01  4.97553540e+00 
 4.32800000e-01  4.99911138e+00  1.52882390e+00  1.61047200e+01  4.97553539e+00 
 4.42800000e-01  4.99911228e+00  1.52882251e+00  1.64537200e+01  4.97553540e+00 
 4.52800000e-01  4.99911139e+00  1.52882386e+00  1.68027200e+01  4.97553539e+00 
 4.62800000e-01  4.99911228e+00  1.52882255e+00  1.71517200e+01  4.97553540e+00 
 4.72800000e-01  4.99911139e+00  1.52882382e+00  1.75007200e+01  4.97553539e+00 
 4.82800000e-01  4.99911227e+00  1.52882259e+00  1.78497200e+01  4.97553539e+00 
 4.92800000e-01  4.99911139e+00  1.52882378e+00  1.81987200e+01  4.97553539e+00 
 5.02800000e-01  4.99911227e+00  1.52882263e+00  1.85477200e+01  4.97553539e+00 
 5.12800000e-01  4.99911139e+00  1.52882375e+00  1.88967200e+01  4.97553539e+00 
 5.22800000e-01  4.99911227e+00  1.52882266e+00  1.92457200e+01  4.97553539e+00 
 5.32800000e-01  4.99911139e+00  1.52882372e+00  1.95947200e+01  4.97553539e+00 
 5.42800000e-01  4.99911227e+00  1.52882269e+00  1.99437200e+01  4.97553539e+00 
 5.52800000e-01  4.99911139e+00  1.52882369e+00  2.02927200e+01  4.97553539e+00 
 5.62800000e-01  4.99911227e+00  1.52882271e+00  2.06417200e+01  4.97553539e+00 
 5.72800000e-01  4.99911139e+00  1.52882367e+00  2.09907200e+01  4.97553539e+00 
 5.82800000e-01  4.99911227e+00  1.52882273e+00  2.13397200e+01  4.97553539e+00 
 5.92800000e-01  4.99911139e+00  1.52882364e+00  2.16887200e+01  4.97553539e+00 
 6.02800000e-01  4.99911226e+00  1.52882275e+00  2.20377200e+01  4.97553539e+00 
 6.12800000e-01  4.99911140e+00  1.52882363e+00  2.23867200e+01  4.97553539e+00 
 6.22800000e-01  4.99911226e+00  1.52882277e+00  2.27357200e+01  4.97553539e+00 
 6.32800000e-01  4.99911140e+00  1.52882361e+00  2.30847200e+01  4.97553539e+00 
 6.42800000e-01  4.99911226e+00  1.52882279e+00  2.34337200e+01  4.97553539e+00 
 6.52800000e-01  4.99911140e+00  1.52882359e+00  2.37827200e+01  4.97553539e+00 
 6.62800000e-01  4.99911226e+00  1.52882280e+00  2.41317200e+01  4.97553539e+00 
 6.72800000e-01  4.99911140e+00  1.52882358e+00  2.44807200e+01  4.97553539e+00 
 6.82800000e-01  4.99911226e+00  1.52882282e+00  2.48297200e+01  4.97553539e+00 
 6.92800000e-01  4.99911140e+00  1.52882356e+00  2.51787200e+01  4.97553539e+00 
 7.02800000e-01  4.99911226e+00  1.52882283e+00  2.55277200e+01  4.97553539e+00 
 7.12800000e-01  4.99911140e+00  1.52882355e+00  2.58767200e+01  4.97553539e+00 
 7.22800000e-01  4.99911226e+00  1.52882284e+00  2.62257200e+01  4.97553539e+00 
 7.32800000e-01  4.99911140e+00  1.52882354e+00  2.65747200e+01  4.97553539e+00 
 7.42800000e-01  4.99911225e+00  1.52882285e+00  2.69237200e+01  4.97553539e+00 
 7.52800000e-01  4.99911140e+00  1.52882353e+00  2.72727200e+01  4.97553539e+00 
 7.62800000e-01  4.99911225e+00  1.52882286e+00  2.76217200e+01  4.97553539e+00 
 7.72800000e-01  4.99911141e+00  1.52882352e+00  2.79707200e+01  4.97553539e+00 
 7.82800000e-01  4.99911225e+00  1.52882287e+00  2.83197200e+01  4.97553539e+00 
 7.92800000e-01  4.99911141e+00  1.52882352e+00  2.86687200e+01  4.97553539e+00 
 8.02800000e-01  4.99911225e+00  1.52882288e+00  2.90177200e+01  4.97553539e+00 
 8.12800000e-01  4.99911141e+00  1.52882351e+00  2.93667200e+01  4.97553539e+00 
 8.22800000e-01  4.99911225e+00  1.52882288e+00  2.97157200e+01  4.97553539e+00 
 8.32800000e-01  4.99911141e+00  1.52882350e+00  3.00647200e+01  4.97553539e+00 
 8.42800000e-01  4.99911225e+00  1.52882289e+00  3.04137200e+01  4.97553539e+00 
 8.52800000e-01  4.99911141e+00  1.52882350e+00  3.07627200e+01  4.97553539e+00 
 8.62800000e-01  4.99911225e+00  1.52882289e+00  3.11117200e+01  4.97553539e+00 
 8.72800000e-01  4.99911141e+00  1.52882349e+00  3.14607200e+01  4.97553539e+00 
 8.82800000e-01  4.99911224e+00  1.52882290e+00  3.18097200e+01  4.97553539e+00 
 8.92800000e-01  4.99911141e+00  1.52882349e+00  3.21587200e+01  4.97553539e+00 
 9.02800000e-01  4.99911224e+00  1.52882290e+00  3.25077200e+01  4.97553539e+00 
 9.12800000e-01  4.99911141e+00  1.52882348e+00  3.28567200e+01  4.97553539e+00 
 9.22800000e-01  4.99911224e+00  1.52882291e+00  3.32057200e+01  4.97553539e+00 
 9.32800000e-01  4.99911141e+00  1.52882348e+00  3.35547200e+01  4.97553539e+00 
