 time            V("/vd1")       V("/vd2")       V("/vcont")     V("/vload")    
 0.00000000e+00  4.99467132e+00  1.00536686e+00  1.00000000e+00  7.21176322e-11 
 1.00000000e-04  4.99467087e+00  1.00470216e+00  1.00349000e+00 -4.19950399e-10 
 2.00000000e-04  4.99467120e+00  1.00536636e+00  1.00698000e+00  2.92860651e-10 
 4.00000000e-04  4.99467126e+00  1.00536698e+00  1.01396000e+00  5.45867696e-11 
 8.00000000e-04  4.99467134e+00  1.00536675e+00  1.02792000e+00  1.24375533e-10 
 1.60000000e-03  4.99467130e+00  1.00536698e+00  1.05584000e+00  2.03085363e-11 
 3.20000000e-03  4.99467134e+00  1.00536675e+00  1.11168000e+00  1.23045380e-10 
 6.40000000e-03  4.99467130e+00  1.00536698e+00  1.22336000e+00  2.15376947e-11 
 1.28000000e-02  4.99467134e+00  1.00536675e+00  1.44672000e+00  1.22517039e-10 
 2.28000000e-02  4.99467130e+00  1.00536698e+00  1.79572000e+00  2.18396947e-11 
 3.28000000e-02  4.99467133e+00  1.00536675e+00  2.14472000e+00  1.22208559e-10 
 4.28000000e-02  4.99467130e+00  1.00536698e+00  2.49372000e+00  2.22284790e-11 
 5.28000000e-02  4.99467134e+00  1.00536675e+00  2.84272000e+00  1.21926345e-10 
 6.28000000e-02  4.99467129e+00  1.00536698e+00  3.19172000e+00  2.23453050e-11 
 7.28000000e-02  4.99467134e+00  1.00536675e+00  3.54072000e+00  1.21821192e-10 
 8.28000000e-02  4.99467130e+00  1.00536698e+00  3.88972000e+00  2.25134869e-11 
 9.28000000e-02  4.99467133e+00  1.00536675e+00  4.23872000e+00  1.21524719e-10 
 1.02800000e-01  4.99467130e+00  1.00536698e+00  4.58772000e+00  2.29303299e-11 
 1.12800000e-01  4.99467134e+00  1.00536675e+00  4.93672000e+00  1.21149481e-10 
 1.22800000e-01  4.99467130e+00  1.00536698e+00  5.28572000e+00  2.32212473e-11 
 1.32800000e-01  4.99467134e+00  1.00536675e+00  5.63472000e+00  1.20913493e-10 
 1.42800000e-01  4.99467130e+00  1.00536698e+00  5.98372000e+00  2.34289163e-11 
 1.52800000e-01  4.99467134e+00  1.00536675e+00  6.33272000e+00  1.20632561e-10 
 1.62800000e-01  4.99467130e+00  1.00536698e+00  6.68172000e+00  2.37921257e-11 
 1.72800000e-01  4.99467133e+00  1.00536675e+00  7.03072000e+00  1.20222859e-10 
 1.82800000e-01  4.99467129e+00  1.00536698e+00  7.37972000e+00  2.41553425e-11 
 1.92800000e-01  4.99467134e+00  1.00536675e+00  7.72872000e+00  1.20012324e-10 
 2.02800000e-01  4.99467130e+00  1.00536698e+00  8.07772000e+00  2.43890403e-11 
 2.12800000e-01  4.99467134e+00  1.00536675e+00  8.42672000e+00  1.19660560e-10 
 2.22800000e-01  4.99467130e+00  1.00536698e+00  8.77572000e+00  2.47080222e-11 
 2.32800000e-01  4.99467134e+00  1.00536675e+00  9.12472000e+00  1.19366510e-10 
 2.42800000e-01  4.99467130e+00  1.00536698e+00  9.47372000e+00  2.50512278e-11 
 2.52800000e-01  4.99467133e+00  1.00536675e+00  9.82272000e+00  1.18982388e-10 
 2.62800000e-01  4.99467130e+00  1.00536698e+00  1.01717200e+01  2.54826161e-11 
 2.72800000e-01  4.99467133e+00  1.00536675e+00  1.05207200e+01  1.18525147e-10 
 2.82800000e-01  4.99467130e+00  1.00536698e+00  1.08697200e+01  2.59248378e-11 
 2.92800000e-01  4.99467134e+00  1.00536675e+00  1.12187200e+01  1.18168179e-10 
 3.02800000e-01  4.99467129e+00  1.00536698e+00  1.15677200e+01  2.61323960e-11 
 3.12800000e-01  4.99467134e+00  1.00536675e+00  1.19167200e+01  1.18020915e-10 
 3.22800000e-01  4.99467130e+00  1.00536698e+00  1.22657200e+01  2.63538748e-11 
 3.32800000e-01  4.99467134e+00  1.00536675e+00  1.26147200e+01  1.17714958e-10 
 3.42800000e-01  4.99467129e+00  1.00536698e+00  1.29637200e+01  2.66250529e-11 
 3.52800000e-01  4.99467134e+00  1.00536675e+00  1.33127200e+01  1.17524758e-10 
 3.62800000e-01  4.99467130e+00  1.00536698e+00  1.36617200e+01  2.68551265e-11 
 3.72800000e-01  4.99467134e+00  1.00536675e+00  1.40107200e+01  1.17211006e-10 
